DepMap_ID,CCLE_Name,Aliases,COSMIC_ID,Sanger ID,Primary Disease,Subtype Disease,Gender,Source
ACH-000204,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LP-1,907791,1794,Myeloma,Multiple Myeloma,Female,HSRRB
ACH-000205,PK59_PANCREAS,PK-59,,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",-1,JCRB
ACH-000206,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Lymphoma,ATL,,
ACH-000207,DETROIT562_UPPER_AERODIGESTIVE_TRACT,Detroit 562,906837,2075,Head and Neck Cancer,"Carcinoma, pharynx",Female,ATCC
ACH-000591,LN235_CENTRAL_NERVOUS_SYSTEM,,,,Brain Cancer,Glioblastoma,Male,
ACH-000209,SNU1079_BILIARY_TRACT,SNU-1079,,,Bile Duct Cancer,Cholangiocarcinoma,,KCLB
ACH-001029,CHLA10_BONE,,,,Bone Cancer,Ewings Sarcoma,,
ACH-000211,DAOY_CENTRAL_NERVOUS_SYSTEM,Daoy,906833,2150,Brain Cancer,Primitive Neuroectodermal Tumor (PNET) Medulloblastoma,Male,ATCC
ACH-000117,EFM192A_BREAST,EFM-192A,1290798,1187,Breast Cancer,Adenocarcinoma,Female,DSMZ
ACH-000213,HUPT4_PANCREAS,HUP-T4,907286,618,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,DSMZ
ACH-000214,HS675T_FIBROBLAST,,,,Colon/Colorectal Cancer,Colon Carcinoma,Male,ATCC
ACH-000600,SLR26_KIDNEY,,,,Kidney Cancer,Renal Cell Carcinoma,,
ACH-000216,JHESOAD1_OESOPHAGUS,JH-EsoAd1,,,Esophageal Cancer,Adenocarcinoma,Male,
ACH-000217,JHH6_LIVER,JHH-6,1240159,1824,Liver Cancer,Hepatocellular Carcinoma,Female,HSRRB
ACH-000218,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL-21,1330991,698,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",Male,DSMZ
ACH-000219,A375_SKIN,A-375,906793,953,Skin Cancer,Melanoma,Female,ATCC
ACH-000221,SNU398_LIVER,SNU-398,1240217,2169,Liver Cancer,Hepatocellular Carcinoma,Male,ATCC
ACH-000222,ASPC1_PANCREAS,AsPC-1,910702,59,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,ATCC
ACH-000223,HCC1937_BREAST,HCC1937,749714,936,Breast Cancer,Breast Ductal Carcinoma,Female,ATCC
ACH-000224,HS819T_FIBROBLAST,,,,Bone Cancer,Chondrosarcoma,Male,ATCC
ACH-000225,ECC12_STOMACH,ECC12,906849,2094,Gastric Cancer,Small Cell Carcinoma,Male,Riken
ACH-000673,LN443_CENTRAL_NERVOUS_SYSTEM,,,,Brain Cancer,Glioblastoma,Male,
ACH-000227,KPNYN_AUTONOMIC_GANGLIA,KP-N-YN,907314,1977,Neuroblastoma,Unknown,Male,HSSRB
ACH-000228,BICR31_UPPER_AERODIGESTIVE_TRACT,BICR 31,1290725,940,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",Male,ECACC
ACH-000229,HS822T_FIBROBLAST,Hs 822.T,,,Bone Cancer,Ewings Sarcoma,Female,ATCC
ACH-000230,HS742T_FIBROBLAST,Hs 742.T,,,Breast Cancer,Carcinoma,Female,ATCC
ACH-000231,KALS1_CENTRAL_NERVOUS_SYSTEM,KALS-1,907271,1936,Brain Cancer,Glioblastoma,Female,HSSRB
ACH-000232,U251MG_CENTRAL_NERVOUS_SYSTEM,U-251 MG;U251-MG,905983,1913,Brain Cancer,Astrocytoma,Male,HSRRB
ACH-000233,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL,906836,793,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",Male,DSMZ
ACH-000234,CAKI2_KIDNEY,Caki-2,,,Kidney Cancer,"Renal Carcinoma, clear cell",Male,ATCC
ACH-000235,PANC0403_PANCREAS,Panc 04.03,1298476,2123,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,ATCC
ACH-000236,SW1417_LARGE_INTESTINE,SW1417,909747,974,Colon/Colorectal Cancer,Colon Adenocarcinoma,Female,ATCC
ACH-000237,JHOM1_OVARY,JHOM-1,,,Ovarian Cancer,Adenocarcinoma,Female,RIKEN
ACH-000238,SCC4_UPPER_AERODIGESTIVE_TRACT,SCC-4,910904,1476,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",Male,ATCC
ACH-000239,HUG1N_STOMACH,HuG1-N,,,Gastric Cancer,"Adenocarcinoma, tubular",Male,RIKEN
ACH-000240,HS600T_FIBROBLAST,Hs 600.T,,,Skin Cancer,Melanoma,,ATCC
ACH-000241,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JK-1,,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",Male,DSMZ
ACH-000242,RT4_URINARY_TRACT,RT4,687455,1309,Bladder Cancer,Transitional Cell Papilloma,Male,ATCC
ACH-000243,DANG_PANCREAS,DAN-G,1290797,871,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,DSMZ
ACH-000244,DKMG_CENTRAL_NERVOUS_SYSTEM,DK-MG,906839,1386,Brain Cancer,Glioblastoma,Female,DSMZ
ACH-000245,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-41,910706,737,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",Male,DSMZ
ACH-000706,EKVX_LUNG,,905970,322,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,Garraway Lab
ACH-000247,OCUM1_STOMACH,OCUM-1,1298358,1712,Gastric Cancer,"Adenocarcinoma, signet ring cell",Female,HSRRB
ACH-000248,AU565_BREAST,AU565,910704,726,Breast Cancer,Adenocarcinoma,Female,ATCC
ACH-000249,CL11_LARGE_INTESTINE,CL-11,1290769,1153,Colon/Colorectal Cancer,Colon Adenocarcinoma,,DSMZ
ACH-000250,KMRC20_KIDNEY,KMRC-20,1298169,1515,Kidney Cancer,Renal Cell Carcinoma,,HSSRB
ACH-000760,LNZ308_CENTRAL_NERVOUS_SYSTEM,,,,Brain Cancer,Glioblastoma,Female,
ACH-000252,LS1034_LARGE_INTESTINE,LS1034,917486,1756,Colon/Colorectal Cancer,Colon Carcinoma,Male,ATCC
ACH-000253,COLO201_LARGE_INTESTINE,COLO 201,,,Colon/Colorectal Cancer,Colorectal Adenocarcinoma,Male,
ACH-000254,SCC15_UPPER_AERODIGESTIVE_TRACT,SCC-15,910911,2053,Head and Neck Cancer,Unknown,Male,ATCC
ACH-000255,LMSU_STOMACH,LMSU,,,Gastric Cancer,Unknown,,RIKEN
ACH-000256,COV318_OVARY,COV318,,,Ovarian Cancer,"Carcinoma, serous",Female,ECACC
ACH-000257,CORL279_LUNG,COR-L279,910937,1768,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ECACC
ACH-000258,DU4475_BREAST,Du4475,906844,302,Breast Cancer,Carcinoma,Female,ATCC
ACH-000259,KELLY_AUTONOMIC_GANGLIA,KELLY,753618,225,Neuroblastoma,Unknown,,DSMZ
ACH-000260,SKNAS_AUTONOMIC_GANGLIA,SK-N-AS,724828,1480,Neuroblastoma,Unknown,Female,ATCC
ACH-000261,RERFLCAI_LUNG,RERF-LC-AI,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,RIKEN
ACH-000773,KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",Male,HSSRB
ACH-000263,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI-1,907275,1196,Leukemia,"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",Male,DSMZ
ACH-000264,CALU6_LUNG,Calu-6,724859,1844,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Anaplastic Carcinoma",Female,ATCC
ACH-000265,KP4_PANCREAS,KP4,753572,708,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,RIKEN
ACH-000266,SNU213_PANCREAS,SNU-213,,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,KCLB
ACH-000267,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDLM-2,924110,1510,Lymphoma,"B-cell, Hodgkins",Male,DSMZ
ACH-000268,SNU245_BILIARY_TRACT,SNU-245,,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",,KCLB
ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,AM-38,910933,776,Brain Cancer,Glioblastoma,Male,HSSRB
ACH-000270,HPAC_PANCREAS,HPAC,1298136,744,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,ATCC
ACH-000271,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SU-DHL-10,1331033,269,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,DSMZ
ACH-000861,HOP62_LUNG,,905972,1500,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,Garraway Lab
ACH-000273,SF539_CENTRAL_NERVOUS_SYSTEM,SF539,905984,1781,Brain Cancer,Glioma,-1,Garraway Lab
ACH-000274,HS852T_SKIN,Hs 852.T,,,Skin Cancer,Melanoma,,ATCC
ACH-000275,HS834T_FIBROBLAST,,,,Skin Cancer,Melanoma,,
ACH-001065,EVSAT_BREAST,,906862,1863,Breast Cancer,Carcinoma,Female,
ACH-000277,HCC1419_BREAST,HCC1419,907045,1551,Breast Cancer,Breast Ductal Carcinoma,Female,ATCC
ACH-000278,COV362_OVARY,COV362,,,Ovarian Cancer,"Carcinoma, epithelial-endometrioid",Female,ECACC
ACH-001030,CHLA218_BONE,,,,Bone Cancer,Ewings Sarcoma,,
ACH-001282,CHLA258_BONE,,,,Bone Cancer,Ewings Sarcoma,,
ACH-000280,SNU840_OVARY,SNU-840,,,Ovarian Cancer,"Carcinoma, brenner",Female,KCLB
ACH-000281,KP2_PANCREAS,KP-2,1298218,746,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,HSRRB
ACH-000282,NCIH1755_LUNG,NCI-H1755,908475,1240,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Female,ATCC
ACH-000283,A1207_CENTRAL_NERVOUS_SYSTEM,A1207,,,Brain Cancer,Glioblastoma,Female,
ACH-000284,HS840T_FIBROBLAST,,,,Head and Neck Cancer,Unknown,Male,ATCC
ACH-000285,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Toledo,,,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Female,ATCC
ACH-000286,SNU1033_LARGE_INTESTINE,SNU-1033,,,Colon/Colorectal Cancer,Colon Adenocarcinoma,Female,KCLB
ACH-000288,BT549_BREAST,BT-549,905951,1835,Breast Cancer,Breast Ductal Carcinoma,Female,ATCC
ACH-000289,SNU466_CENTRAL_NERVOUS_SYSTEM,SNU-466,,,Brain Cancer,Glioblastoma,Male,KCLB
ACH-000290,NCIH209_LUNG,NCI-H209;H209,688013,452,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ATCC
ACH-000291,OV90_OVARY,OV-90,1240197,1327,Ovarian Cancer,"Adenocarcinoma, serous papillary",Female,ATCC
ACH-000292,NCIH841_LUNG,NCI-H841,1240192,1372,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ATCC
ACH-000293,KLE_ENDOMETRIUM,KLE,924187,2256,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,Female,ATCC
ACH-000294,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB-4,1323913,1285,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",Female,DSMZ
ACH-000295,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM-2,906855,901,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",Female,DSMZ
ACH-000296,OUMS23_LARGE_INTESTINE,OUMS-23,,,Colon/Colorectal Cancer,Colon Adenocarcinoma,,HSSRB
ACH-000297,NCIH889_LUNG,NCI-H889,,,Lung Cancer,Small Cell Lung Cancer (SCLC),Female,ATCC
ACH-000298,NCIH2029_LUNG,NCI-H2029,688011,2106,Lung Cancer,Small Cell Lung Cancer (SCLC),Female,ATCC
ACH-000299,HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HNT-34,,,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",,
ACH-000300,SLR25_KIDNEY,,,,Kidney Cancer,Renal Cell Carcinoma,,
ACH-000301,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LAMA-84,907783,709,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",Female,DSMZ
ACH-000302,SNU1077_ENDOMETRIUM,SNU-1077,,,Endometrial/Uterine Cancer,Mullerian Carcinoma,Female,KCLB
ACH-000303,SNU5_STOMACH,SNU-5,908445,28,Gastric Cancer,Adenocarcinoma,Female,ATCC
ACH-000304,WM115_SKIN,WM-115,909784,1000,Skin Cancer,Melanoma,Female,ATCC
ACH-000305,ECGI10_OESOPHAGUS,EC-GI-10,753555,2138,Esophageal Cancer,Squamous Cell Carcinoma,Male,RIKEN
ACH-000306,HS688AT_FIBROBLAST,Hs 688(A).T,,,fibroblast,Melanoma,Male,
ACH-000307,PK1_PANCREAS,PK-1,,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,RIKEN
ACH-000308,EFO21_OVARY,EFO-21,911905,303,Ovarian Cancer,"Adenocarcinoma, clear cell",Female,DSMZ
ACH-000309,SKLU1_LUNG,SK-LU-1,909721,233,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Female,ATCC
ACH-000310,IMR32_AUTONOMIC_GANGLIA,IMR-32,,,Neuroblastoma,Unknown,Male,ATCC
ACH-000311,NCIH2122_LUNG,NCI-H2122,722046,1015,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Female,ATCC
ACH-000312,SKNBE2_AUTONOMIC_GANGLIA,SK-N-BE(2),,,Neuroblastoma,Unknown,Male,ATCC
ACH-000313,KMRC3_KIDNEY,KMRC-3,,,Kidney Cancer,"Renal Carcinoma, clear cell",,HSRRB
ACH-000314,HCC2108_LUNG,HCC-2108,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,KCLB
ACH-000315,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-422,907274,1973,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Female,DSMZ
ACH-000316,SNU886_LIVER,SNU-886,,,Liver Cancer,Hepatocellular Carcinoma,Male,KCLB
ACH-000317,TUHR14TKB_KIDNEY,TUHR14TKB,,,Kidney Cancer,Renal Cell Carcinoma,,RIKEN
ACH-000318,TE10_OESOPHAGUS,TE-10,753622,1561,Esophageal Cancer,Squamous Cell Carcinoma,,RIKEN
ACH-000319,MPP89_PLEURA,MPP 89,908150,2255,Lung Cancer,Mesothelioma,Male,ICLC
ACH-000320,PSN1_PANCREAS,PSN1;GR-M,910546,560,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",-1,ECACC
ACH-000321,MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM-6,,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",Male,DSMZ
ACH-000322,HT144_SKIN,HT-144,907067,1193,Skin Cancer,Melanoma,Male,ATCC
ACH-000323,42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,687561,1465,Brain Cancer,Glioma,Male,DSMZ
ACH-000324,JHOC5_OVARY,JHOC-5,,,Ovarian Cancer,"Carcinoma, clear cell",Female,RIKEN
ACH-000325,SNU620_STOMACH,SNU-620,,,Gastric Cancer,Stomach Adenocarcinoma,Female,KCLB
ACH-000326,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURL-MK1,1327771,1807,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",Male,DSMZ
ACH-000327,NCIH1395_LUNG,NCI-H1395,684681,1826,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Female,ATCC
ACH-000328,LN215_CENTRAL_NERVOUS_SYSTEM,LN-215,,,Brain Cancer,Glioblastoma,,
ACH-000329,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CCF-STTG1,906823,876,Brain Cancer,Astrocytoma,Female,ATCC
ACH-000330,EFM19_BREAST,EFM-19,906851,1786,Breast Cancer,Breast Ductal Carcinoma,Female,DSMZ
ACH-000331,ISTMES2_PLEURA,IST-MES2;IST-MES-2,,,Lung Cancer,Mesothelioma,Male,ICLC
ACH-000332,YAPC_PANCREAS,YAPC,909904,895,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,DSMZ
ACH-000333,JHOM2B_OVARY,JHOM-2B,,,Ovarian Cancer,Adenocarcinoma,Female,RIKEN
ACH-000334,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DB,906832,1185,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,ATCC
ACH-000335,MSTO211H_PLEURA,MSTO-211H,908152,209,Lung Cancer,Mesothelioma,Male,ATCC
ACH-000336,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML3,1290455,355,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",Male,DSMZ
ACH-000937,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909260,1043,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",Female,DSMZ
ACH-001067,F5_CENTRAL_NERVOUS_SYSTEM,,,,Brain Cancer,Meningioma,Male,
ACH-000025,CH157MN_CENTRAL_NERVOUS_SYSTEM,CH-157MN,,,Brain Cancer,Meningioma,,
ACH-000340,HS870T_FIBROBLAST,Hs 870.T,,,Bone Cancer,Osteosarcoma,,ATCC
ACH-000341,SKNFI_AUTONOMIC_GANGLIA,SK-N-FI,688087,227,Neuroblastoma,Unknown,Male,ATCC
ACH-000342,CL14_LARGE_INTESTINE,CL-14,,,Colon/Colorectal Cancer,Colon Adenocarcinoma,Male,DSMZ
ACH-000343,NCIH522_LUNG,NCI-H522,905944,1224,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,ATCC
ACH-000344,SNU668_STOMACH,SNU-668,,,Gastric Cancer,"Adenocarcinoma, signet ring cell",Male,KCLB
ACH-000345,KPNRTBM1_AUTONOMIC_GANGLIA,KP-N-RT-BM-1,924189,852,Neuroblastoma,Unknown,,HSSRB
ACH-001617,OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1659819,1606,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,
ACH-000347,QGP1_PANCREAS,QGP-1,1298534,469,Pancreatic Cancer,Somatostatinoma,Male,HSRRB
ACH-000348,RPMI7951_SKIN,RPMI-7951,910903,1909,Skin Cancer,Melanoma,Female,ATCC
ACH-001120,MB157_BREAST,,,,Breast Cancer,Carcinoma,Female,
ACH-000350,COLO678_LARGE_INTESTINE,COLO-678,910689,2148,Colon/Colorectal Cancer,Colon Carcinoma,Male,DSMZ
ACH-000351,MKN1_STOMACH,MKN1,908138,1647,Gastric Cancer,Adenocarcinoma,Male,HSSRB
ACH-000352,HCC1428_BREAST,HCC1428,1290905,1567,Breast Cancer,Carcinoma,Female,ATCC
ACH-000353,TE15_OESOPHAGUS,TE-15,753614,575,Esophageal Cancer,Squamous Cell Carcinoma,Female,RIKEN
ACH-000354,CAPAN1_PANCREAS,Capan-1,753624,641,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,ATCC
ACH-000355,NCIH82_LUNG,NCI-H82,688031,1545,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ATCC
ACH-000356,MKN45_STOMACH,MKN-45,925340,1542,Gastric Cancer,Adenocarcinoma,Female,HSRRB
ACH-000358,NCIH69_LUNG,NCI-H69,688027,1016,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ATCC
ACH-000359,MG63_BONE,MG-63,908131,2170,Bone Cancer,Osteosarcoma,Male,ATCC
ACH-000360,NCIH508_LARGE_INTESTINE,NCI-H508,908442,35,Colon/Colorectal Cancer,Caecum Adenocarcinoma,Male,ATCC
ACH-000361,SKHEP1_LIVER,SK-HEP-1,909719,874,Liver Cancer,Hepatocellular Adenocarcinoma,Male,ATCC
ACH-000362,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM-13,1330947,747,Leukemia,Acute Myelogenous Leukemia (AML),Male,DSMZ
ACH-000363,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SK-MM-2,753612,1003,Leukemia,Plasma Cell,Male,DSMZ
ACH-000364,U2OS_BONE,U-2 OS;U2-OS;U-2 OS,909776,1145,Bone Cancer,Osteosarcoma,Female,ATCC
ACH-000365,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SU-DHL-4,1331035,1450,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,DSMZ
ACH-000366,SKNDZ_AUTONOMIC_GANGLIA,SK-N-DZ,688086,867,Neuroblastoma,Unknown,Female,ATCC
ACH-000367,NCIH226_LUNG,NCI-H226,905941,1221,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",Male,ATCC
ACH-000368,SNU1105_CENTRAL_NERVOUS_SYSTEM,SNU-1105,,,Brain Cancer,Glioblastoma,Male,KCLB
ACH-000369,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM-16,1330948,1229,Leukemia,Acute Myelogenous Leukemia (AML),Female,DSMZ
ACH-000370,SNU626_CENTRAL_NERVOUS_SYSTEM,SNU-626,,,Brain Cancer,Glioblastoma,Male,KCLB
ACH-000728,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Male,DSMZ
ACH-000373,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM-1,909722,304,Leukemia,Acute Myelogenous Leukemia (AML),Male,HSRRB
ACH-000374,HCC1143_BREAST,HCC1143,749710,1316,Breast Cancer,Breast Ductal Carcinoma,Female,ATCC
ACH-000375,G402_SOFT_TISSUE,G-402,907298,1089,Rhabdoid,Malignant Rhabdoid Tumor,Female,ATCC
ACH-000376,SF295_CENTRAL_NERVOUS_SYSTEM,SF-295,905985,1164,Brain Cancer,Glioblastoma,Female,NCI/DCTD
ACH-000377,SNU478_BILIARY_TRACT,SNU-478,,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic, ampullary",,KCLB
ACH-000378,NCIH647_LUNG,NCI-H647,1240191,955,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",Male,ATCC
ACH-000379,NCIH1781_LUNG,NCI-H1781,1298350,2228,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Bronchoalveolar Carcinoma",Female,ATCC
ACH-000380,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS-12-BM,907281,2087,Myeloma,Multiple Myeloma,Female,DSMZ
ACH-000381,T84_LARGE_INTESTINE,T84,909761,997,Colon/Colorectal Cancer,Colon Adenocarcinoma,Male,ATCC
ACH-000382,CORL24_LUNG,COR-L24,,,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ECACC
ACH-000383,OE33_OESOPHAGUS,OE33,910549,1554,Esophageal Cancer,Adenocarcinoma,Female,HPACC
ACH-000384,SW780_URINARY_TRACT,SW 780,687457,2039,Bladder Cancer,Transitional Cell Carcinoma,Female,ATCC
ACH-000385,SKRC20_KIDNEY,SK-RC-20,,,Kidney Cancer,Renal Cell Carcinoma,,
ACH-000386,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KG-1,907278,193,Leukemia,Acute Myelogenous Leukemia (AML),Male,ATCC
ACH-000387,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TF-1,,,Leukemia,Acute Myelogenous Leukemia (AML),Male,ATCC
ACH-000388,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NU-DHL-1,,,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,DSMZ
ACH-000389,H4_CENTRAL_NERVOUS_SYSTEM,H4,907042,1244,Brain Cancer,Neuroglioma,Male,ATCC
ACH-000390,LUDLU1_LUNG,LUDLU-1,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",Male,ECAAC
ACH-001032,CHLA32_BONE,,,,Bone Cancer,Ewings Sarcoma,,
ACH-000392,CALU3_LUNG,Calu-3,687777,219,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,ATCC
ACH-000393,HLF_LIVER,HLF,,,Liver Cancer,Hepatocellular Carcinoma,Male,HSRRB
ACH-000394,NCIH2081_LUNG,NCI-H2081,908480,914,Lung Cancer,Small Cell Lung Cancer (SCLC),Female,ATCC
ACH-000395,NCIH520_LUNG,NCI-H520,908443,2200,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",Male,ATCC
ACH-000396,J82_URINARY_TRACT,J82,753566,1232,Bladder Cancer,Transitional Cell Carcinoma,Male,ATCC
ACH-000397,TEN_ENDOMETRIUM,TEN,,,Endometrial/Uterine Cancer,Clear Cell Carcinoma,Female,RIKEN
ACH-000399,NCIH2196_LUNG,NCI-H2196,908481,916,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ATCC
ACH-000400,SKCO1_LARGE_INTESTINE,SK-CO-1,909718,40,Colon/Colorectal Cancer,Colon Adenocarcinoma,Male,ATCC
ACH-000401,COLO800_SKIN,COLO-800,906813,21,Skin Cancer,Melanoma,Male,ATCC
ACH-000402,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-70,,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",Male,DSMZ
ACH-000403,NCIH747_LARGE_INTESTINE,NCI-H747,908457,573,Colon/Colorectal Cancer,Colon Adenocarcinoma,Male,ATCC
ACH-000404,K029AX_SKIN,K029AX,,,Skin Cancer,Melanoma,,Academic Lab
ACH-001709,WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909785,601,Lymphoma,"B-cell, unspecified",Female,
ACH-000406,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,U-937,,,Leukemia,Acute Myelogenous Leukemia (AML),Male,ATCC
ACH-000407,SNU685_ENDOMETRIUM,SNU-685,,,Endometrial/Uterine Cancer,Malignant Mixed Mullerian Tumor (MMMT),Female,KCLB
ACH-000408,TE5_OESOPHAGUS,TE-5,735784,576,Esophageal Cancer,Squamous Cell Carcinoma,Female,Riken
ACH-000409,OVSAHO_OVARY,OVSAHO,,,Ovarian Cancer,"Adenocarcinoma, high grade serous",Female,HSSRB
ACH-000410,SAOS2_BONE,Saos-2,909707,399,Bone Cancer,Osteosarcoma,Female,ATCC
ACH-000411,769P_KIDNEY,769-P,910922,1186,Kidney Cancer,"Renal Adenocarcinoma, clear cell",Female,ATCC
ACH-000412,SNU1197_LARGE_INTESTINE,SNU-1197,,,Colon/Colorectal Cancer,Colon Carcinoma,Male,KCLB
ACH-000413,HS739T_FIBROBLAST,,,,Breast Cancer,Carcinoma,Female,
